Precinct,WESLEY HUNT,VIRGIL JOHN BIERSCHWALE,JOHN O. ADEFOPE,JOHN CORNYN,ANNA BENDER,SARA CANADY,"GULREZ ""GUS"" KHAN",KEN PAXTON,Cast Votes,Undervotes,Overvotes,Mail Ballots,Early Voting,Election Day,EV Provisional,ED Provisional,Total Ballots Cast,Registered Voters,Turnout %
240,8,0,0,6,0,0,0,6,20,3,0,0,12,11,0,0,23,0,0
241,16,1,0,17,0,2,1,25,62,2,0,4,34,25,1,0,64,0,0
242,13,2,0,30,2,0,0,43,90,1,0,5,54,32,0,0,91,0,0
243,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,2,0,0
244,55,3,0,72,6,0,3,108,247,3,0,4,151,95,0,0,250,0,0
245,63,1,4,82,7,4,1,132,294,1,0,3,177,115,0,0,295,0,0
246,88,1,3,164,9,5,1,160,431,5,0,14,258,164,0,0,436,0,0
247,2,0,0,5,0,0,0,3,10,2,0,0,8,4,0,0,12,0,0
248,6,2,1,8,3,1,1,9,31,0,0,0,13,18,0,0,31,0,0
249,50,3,2,125,2,3,3,113,301,1,0,7,193,102,0,0,302,0,0
250,6,0,0,18,0,4,0,19,47,0,0,0,26,21,0,0,47,0,0
251,9,0,0,19,4,0,1,21,54,2,0,1,31,24,0,0,56,0,0
252,3,1,0,2,0,0,0,2,8,0,0,0,3,5,0,0,8,0,0
253,1,0,0,5,1,0,0,3,10,0,0,0,6,4,0,0,10,0,0
254,3,0,0,9,1,2,0,7,22,1,0,1,16,6,0,0,23,0,0
255,60,0,1,116,4,1,0,88,270,4,0,5,115,154,0,0,274,0,0
256,28,1,2,72,7,4,3,76,193,1,0,10,135,49,0,0,194,0,0
257,24,0,2,32,1,3,1,23,86,3,0,2,55,31,1,0,89,0,0
258,171,2,2,248,4,3,0,188,618,5,0,6,370,247,0,0,623,0,0
259,5,1,0,1,0,0,0,2,9,0,0,1,2,6,0,0,9,0,0
260,29,1,1,46,1,2,1,42,123,2,0,3,65,57,0,0,125,0,0
261,8,0,0,28,2,1,0,17,56,0,0,4,28,23,1,0,56,0,0
262,98,3,4,140,3,1,3,159,411,2,0,10,261,142,0,0,413,0,0
263,147,3,2,216,4,2,3,233,610,2,0,13,354,245,0,0,612,0,0
264,51,2,1,90,3,2,1,95,245,3,2,8,117,124,1,0,250,0,0
265,119,0,0,357,6,4,3,178,667,6,1,31,397,245,1,0,674,0,0
266,16,0,1,40,5,2,0,46,110,1,0,6,54,50,0,1,111,0,0
267,10,1,0,21,2,0,0,24,58,1,0,2,41,14,2,0,59,0,0
268,64,2,3,195,3,5,3,80,355,3,0,10,180,167,1,0,358,0,0
269,112,1,0,347,3,3,0,128,594,3,0,20,388,188,1,0,597,0,0
270,51,0,3,151,5,3,6,137,356,5,0,22,200,139,0,0,361,0,0
271,6,0,0,10,1,3,0,7,27,1,0,0,14,14,0,0,28,0,0
272,16,0,2,28,1,3,0,33,83,1,0,0,51,31,0,2,84,0,0
273,136,0,0,310,0,0,0,132,578,1,0,21,348,210,0,0,579,0,0
274,89,1,2,191,1,3,2,115,404,2,0,15,273,118,0,0,406,0,0
275,8,1,1,9,1,2,0,10,32,2,0,0,17,17,0,0,34,0,0
276,2,0,0,1,1,2,0,1,7,0,0,0,5,2,0,0,7,0,0
277,6,0,3,31,0,0,0,48,88,2,0,5,54,31,0,0,90,0,0
278,28,1,2,63,5,1,3,73,176,5,0,16,99,66,0,0,181,0,0
279,24,0,1,31,0,1,0,42,99,2,0,2,61,38,0,0,101,0,0
280,7,0,0,22,2,1,3,26,61,0,0,2,35,24,0,0,61,0,0
281,52,0,0,138,1,2,1,85,279,1,0,10,147,123,0,0,280,0,0
282,66,0,0,102,1,2,2,87,260,0,0,7,92,161,0,0,260,0,0
283,9,0,1,11,0,3,0,13,37,1,0,1,19,18,0,0,38,0,0
284,39,2,3,69,4,2,0,68,187,5,0,5,135,52,0,0,192,0,0
285,11,0,0,8,2,0,0,21,42,0,0,0,21,21,0,0,42,0,0
286,10,1,0,14,1,4,1,20,51,1,0,3,34,15,0,0,52,0,0
287,52,0,0,72,3,2,1,64,194,2,0,7,84,104,1,0,196,0,0
288,1,0,0,1,0,0,0,0,2,1,0,0,2,1,0,0,3,0,0
289,10,1,1,28,0,0,1,39,80,3,0,5,44,34,0,0,83,0,0
290,35,1,2,64,0,1,0,81,184,3,0,5,78,104,0,0,187,0,0
291,22,0,0,28,2,0,1,40,93,1,0,2,55,37,0,0,94,0,0
292,11,0,0,12,2,0,1,8,34,1,0,2,20,13,0,0,35,0,0
293,25,0,0,53,3,1,1,39,122,1,0,11,48,64,0,0,123,0,0
294,3,0,0,1,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0
295,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
296,34,0,0,70,5,4,3,59,175,0,0,6,89,80,0,0,175,0,0
297,14,1,4,26,2,2,2,34,85,1,0,12,38,36,0,0,86,0,0
298,35,1,0,93,4,3,0,74,210,4,1,6,142,66,0,1,215,0,0
299,11,1,0,22,0,3,0,26,63,0,0,0,43,20,0,0,63,0,0
300,127,3,3,176,4,1,2,247,563,1,0,6,353,205,0,0,564,0,0
301,13,1,0,28,0,3,0,38,83,2,0,1,45,39,0,0,85,0,0
302,44,3,1,82,4,4,2,94,234,2,0,19,120,95,1,1,236,0,0
303,176,1,0,514,3,4,3,216,917,7,0,43,555,323,3,0,924,0,0
304,52,2,2,126,4,3,0,73,262,4,0,6,167,92,0,1,266,0,0
305,49,3,5,62,5,5,2,73,204,2,0,2,130,74,0,0,206,0,0
306,65,0,0,172,1,6,0,153,397,5,0,17,265,120,0,0,402,0,0
307,95,2,1,265,6,3,5,229,606,9,0,33,331,248,2,1,615,0,0
308,9,0,1,19,1,1,1,18,50,1,0,2,24,25,0,0,51,0,0
309,154,3,2,337,2,2,1,205,706,4,0,6,473,230,1,0,710,0,0
310,53,1,3,106,5,1,3,92,264,3,0,13,149,105,0,0,267,0,0
311,25,2,1,103,0,4,5,44,184,4,0,13,104,71,0,0,188,0,0
312,52,0,1,165,4,4,2,78,306,4,0,34,176,99,1,0,310,0,0
313,1,0,0,2,0,0,0,2,5,0,0,0,4,1,0,0,5,0,0
314,59,1,0,73,3,2,2,81,221,1,0,6,142,74,0,0,222,0,0
315,49,3,1,79,3,1,0,83,219,4,0,5,118,99,1,0,223,0,0
316,30,2,1,100,2,3,2,49,189,0,1,8,118,63,1,0,190,0,0
317,3,0,0,18,2,0,0,13,36,0,0,0,21,15,0,0,36,0,0
318,14,1,0,15,1,0,1,6,38,0,0,2,19,17,0,0,38,0,0
319,5,0,0,9,1,1,0,8,24,1,0,2,19,4,0,0,25,0,0
320,7,0,0,24,3,3,2,30,69,2,0,4,33,34,0,0,71,0,0
321,6,0,0,23,4,2,1,15,51,0,0,2,27,22,0,0,51,0,0
322,8,0,2,26,1,1,0,13,51,0,0,3,29,19,0,0,51,0,0
323,23,0,1,45,3,0,0,49,121,2,0,5,76,42,0,0,123,0,0
324,56,2,0,151,2,1,2,98,312,3,0,16,169,129,1,0,315,0,0
325,15,1,1,10,1,1,1,20,50,1,0,4,27,20,0,0,51,0,0
326,9,0,0,11,1,0,0,7,28,1,0,4,16,9,0,0,29,0,0
327,17,0,0,4,2,1,0,7,31,0,0,0,14,17,0,0,31,0,0
328,5,1,2,19,0,1,1,19,48,0,0,3,31,14,0,0,48,0,0
329,14,2,1,20,6,3,0,27,73,2,0,0,61,14,0,0,75,0,0
330,38,0,4,67,5,2,5,57,178,0,0,2,95,81,0,0,178,0,0
331,52,0,2,87,5,2,1,89,238,6,0,6,135,102,1,0,244,0,0
332,14,4,2,13,2,2,1,20,58,2,0,0,35,25,0,0,60,0,0
333,107,2,2,212,6,5,3,286,623,6,0,21,345,261,2,0,629,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,7,1,1,25,2,2,0,16,54,1,0,3,28,23,0,1,55,0,0
336,5,3,1,11,1,1,1,7,30,1,0,0,18,13,0,0,31,0,0
337,5,0,1,12,0,0,0,7,25,0,0,1,19,5,0,0,25,0,0
338,18,3,1,36,4,5,0,31,98,3,0,2,50,49,0,0,101,0,0
339,6,0,0,3,0,1,0,5,15,0,0,0,9,6,0,0,15,0,0
340,79,2,3,171,9,3,2,215,484,2,0,11,315,160,0,0,486,0,0
341,6,0,0,18,2,0,0,13,39,0,0,0,23,15,1,0,39,0,0
342,3,0,1,10,1,0,0,7,22,0,0,1,10,11,0,0,22,0,0
343,10,0,1,22,2,3,1,28,67,1,0,2,41,25,0,0,68,0,0
344,1,0,1,3,1,0,0,1,7,1,0,0,5,3,0,0,8,0,0
345,6,1,0,10,2,0,2,9,30,1,0,0,13,18,0,0,31,0,0
347,57,1,3,161,6,4,1,141,374,0,0,21,249,104,0,0,374,0,0
348,39,0,1,111,4,5,0,141,301,4,0,31,183,91,0,0,305,0,0
349,30,2,1,51,5,0,0,62,151,0,0,3,73,75,0,0,151,0,0
350,24,0,1,43,4,0,2,38,112,3,0,9,69,36,0,1,115,0,0
351,126,1,1,278,8,8,5,285,712,3,0,19,479,217,0,0,715,0,0
352,56,1,1,118,11,4,4,152,347,6,0,9,220,122,2,0,353,0,0
353,16,0,1,41,5,3,2,38,106,4,0,6,65,39,0,0,110,0,0
354,22,1,2,41,5,1,0,51,123,2,0,7,72,46,0,0,125,0,0
355,7,0,2,14,2,0,1,8,34,1,0,0,16,19,0,0,35,0,0
356,72,2,2,144,6,6,2,121,355,3,0,14,196,147,0,1,358,0,0
357,95,2,0,205,6,5,3,265,581,5,0,10,381,195,0,0,586,0,0
358,4,0,0,4,1,0,0,1,10,0,0,1,4,4,0,1,10,0,0
359,4,2,1,8,0,1,0,9,25,0,0,0,14,11,0,0,25,0,0
360,57,1,2,153,1,3,1,100,318,2,0,16,178,124,1,1,320,0,0
361,1,0,0,7,0,0,0,4,12,0,0,0,0,12,0,0,12,0,0
362,128,3,0,265,7,6,5,297,711,7,0,20,492,205,1,0,718,0,0
363,32,1,1,55,2,1,0,76,168,2,0,2,108,60,0,0,170,0,0
364,22,1,0,52,0,0,0,58,133,2,0,6,92,37,0,0,135,0,0
365,9,1,0,14,0,1,0,12,37,0,0,3,21,13,0,0,37,0,0
366,15,3,3,32,3,5,0,36,97,3,0,1,49,50,0,0,100,0,0
