precinct,count_precinct
632.0,36.0
633.0,4241.0
634.0,3553.0
635.0,3693.0
636.0,2225.0
637.0,3007.0
638.0,2349.0
639.0,2646.0
640.0,4994.0
641.0,4036.0
642.0,1856.0
643.0,4799.0
644.0,4920.0
645.0,2893.0
646.0,2641.0
647.0,5259.0
648.0,3735.0
649.0,4977.0
650.0,3945.0
651.0,3500.0
652.0,3093.0
653.0,878.0
654.0,2882.0
655.0,4450.0
656.0,463.0
657.0,1965.0
658.0,3147.0
659.0,3568.0
660.0,3612.0
661.0,3635.0
662.0,2170.0
663.0,726.0
664.0,3115.0
665.0,2879.0
667.0,2124.0
668.0,4969.0
669.0,3670.0
670.0,3399.0
671.0,3544.0
672.0,4631.0
673.0,3112.0
674.0,4867.0
675.0,3673.0
676.0,3444.0
677.0,1456.0
678.0,2610.0
679.0,1224.0
680.0,190.0
681.0,158.0
682.0,3273.0
683.0,336.0
684.0,4929.0
685.0,266.0
686.0,247.0
687.0,2958.0
688.0,5179.0
689.0,2849.0
690.0,4736.0
691.0,4897.0
692.0,3826.0
693.0,751.0
694.0,2004.0
695.0,2003.0
696.0,2490.0
697.0,3118.0
698.0,1480.0
699.0,2408.0
700.0,2773.0
701.0,783.0
702.0,687.0
703.0,2916.0
704.0,3410.0
705.0,1305.0
706.0,3342.0
707.0,983.0
708.0,719.0
709.0,5012.0
710.0,3019.0
711.0,5112.0
712.0,5363.0
713.0,2224.0
714.0,456.0
715.0,834.0
716.0,2836.0
717.0,2206.0
718.0,3910.0
719.0,1767.0
720.0,2410.0
721.0,3022.0
722.0,4730.0
723.0,2984.0
724.0,1196.0
725.0,2407.0
726.0,2165.0
727.0,1046.0
728.0,846.0
729.0,457.0
730.0,2655.0
731.0,3489.0
732.0,2100.0
733.0,394.0
734.0,2835.0
735.0,3737.0
736.0,2689.0
737.0,48.0
738.0,678.0
739.0,2449.0
740.0,567.0
741.0,2439.0
742.0,1512.0
743.0,221.0
744.0,2110.0
745.0,2714.0
746.0,819.0
747.0,4424.0
748.0,1965.0
749.0,476.0
750.0,903.0
751.0,2801.0
752.0,1637.0
753.0,544.0
754.0,1577.0
755.0,3413.0
756.0,1961.0
757.0,4156.0
758.0,2502.0
759.0,2449.0
760.0,2706.0
761.0,1835.0
762.0,2040.0
763.0,1398.0
764.0,2625.0
765.0,3336.0
766.0,522.0
767.0,94.0
768.0,2854.0
769.0,168.0
770.0,500.0
771.0,1641.0
772.0,4603.0
773.0,3241.0
774.0,640.0
775.0,3485.0
776.0,3371.0
777.0,773.0
778.0,374.0
779.0,1190.0
780.0,723.0
781.0,4016.0
782.0,2446.0
783.0,1047.0
784.0,1025.0
785.0,4115.0
786.0,1531.0
787.0,648.0
788.0,579.0
789.0,3219.0
790.0,3858.0
792.0,2065.0
793.0,2407.0
794.0,643.0
795.0,1412.0
796.0,3647.0
798.0,578.0
799.0,1575.0
800.0,4429.0
801.0,424.0
803.0,4726.0
804.0,3132.0
805.0,2914.0
806.0,3647.0
807.0,1993.0
808.0,5.0
809.0,120.0
810.0,200.0
811.0,270.0
812.0,1.0
813.0,4670.0
814.0,2404.0
816.0,65.0
817.0,2337.0
818.0,667.0
819.0,224.0
820.0,1424.0
821.0,1238.0
822.0,1538.0
823.0,3401.0
824.0,2364.0
825.0,4113.0
826.0,407.0
827.0,1170.0
828.0,2009.0
829.0,78.0
830.0,162.0
831.0,43.0
832.0,442.0
833.0,1.0
834.0,274.0
835.0,383.0
836.0,308.0
837.0,146.0
839.0,1292.0
840.0,1936.0
841.0,4317.0
842.0,2693.0
843.0,1552.0
844.0,4129.0
845.0,386.0
846.0,370.0
847.0,2927.0
848.0,1900.0
849.0,2523.0
850.0,225.0
851.0,4589.0
852.0,2561.0
853.0,2872.0
854.0,194.0
855.0,1846.0
858.0,415.0
859.0,1042.0
860.0,3086.0
861.0,2187.0
862.0,4330.0
863.0,593.0
864.0,2923.0
865.0,2768.0
867.0,1425.0
868.0,2055.0
869.0,333.0
871.0,95.0
872.0,853.0
873.0,884.0
874.0,3316.0
875.0,4189.0
876.0,2464.0
877.0,3412.0
878.0,2064.0
879.0,3311.0
880.0,3271.0
881.0,3428.0
882.0,3638.0
883.0,3146.0
884.0,502.0
885.0,4069.0
886.0,1046.0
887.0,564.0
888.0,2868.0
889.0,204.0
890.0,2310.0
891.0,1495.0
892.0,1700.0
893.0,2292.0
894.0,3209.0
895.0,902.0
896.0,1884.0
897.0,2357.0
898.0,2311.0
899.0,1443.0
900.0,19.0
901.0,5358.0
902.0,3787.0
903.0,3318.0
905.0,1057.0
906.0,4229.0
907.0,253.0
908.0,1.0
909.0,2806.0
910.0,267.0
911.0,628.0
912.0,1747.0
913.0,322.0
914.0,161.0
915.0,2892.0
916.0,4751.0
918.0,8.0
919.0,3738.0
920.0,229.0
921.0,322.0
923.0,4842.0
926.0,3211.0
927.0,4357.0
928.0,43.0
930.0,655.0
931.0,125.0
933.0,1094.0
934.0,78.0
935.0,2694.0
936.0,191.0
937.0,2847.0
938.0,319.0
940.0,25.0
941.0,1131.0
942.0,431.0
943.0,716.0
944.0,79.0
945.0,115.0
946.0,710.0
947.0,845.0
948.0,659.0
949.0,1466.0
951.0,404.0
952.0,516.0
953.0,668.0
