"id","state","site","treat","treat_string","vf_age","vf_female","vf_latino","vf_voted16","vf_voted14","vf_voted12","t1_factor_prej","t1_factor_policy","t1_factor_overall"
735,"CA","ORANGE",2,"Deep Canvass",55,0,0,1,0,1,NA,NA,NA
210052,"TN","TN",2,"Deep Canvass",32,1,0,1,0,0,NA,NA,NA
31957,"CA","FRESNO",2,"Deep Canvass",37,1,0,1,0,1,NA,NA,NA
97542,"CA","ORANGE",2,"Deep Canvass",26,1,1,1,0,0,NA,NA,NA
133849,"TN","TN",2,"Deep Canvass",66,1,0,1,1,1,NA,NA,NA
6613,"CA","FRESNO",2,"Deep Canvass",52,1,1,1,0,0,NA,NA,NA
60568,"CA","ORANGE",2,"Deep Canvass",39,0,0,1,0,0,NA,NA,NA
35045,"CA","ORANGE",2,"Deep Canvass",73,0,0,0,0,0,NA,NA,NA
216820,"TN","TN",2,"Deep Canvass",50,1,0,0,0,0,-1.383125,-1.452144,-1.455806
23263,"CA","ORANGE",2,"Deep Canvass",21,0,0,0,0,0,0.7450549,0.5675955,0.7009463
196040,"TN","TN",2,"Deep Canvass",33,1,0,1,0,1,NA,NA,NA
135159,"TN","TN",2,"Deep Canvass",62,1,0,1,1,0,-0.1929224,0.4749841,0.1144395
107906,"CA","FRESNO",2,"Deep Canvass",60,0,0,1,1,1,NA,NA,NA
99006,"CA","ORANGE",2,"Deep Canvass",48,0,0,1,1,1,NA,NA,NA
139128,"TN","TN",2,"Deep Canvass",51,1,0,1,0,1,NA,NA,NA
58242,"CA","ORANGE",2,"Deep Canvass",66,1,1,1,1,1,NA,NA,NA
211495,"TN","TN",2,"Deep Canvass",68,1,0,1,0,0,NA,NA,NA
994,"CA","ORANGE",2,"Deep Canvass",24,1,0,1,0,0,NA,NA,NA
14047,"CA","ORANGE",2,"Deep Canvass",65,0,0,1,0,0,NA,NA,NA
266,"CA","ORANGE",2,"Deep Canvass",68,1,0,1,1,1,NA,NA,NA
386,"CA","ORANGE",2,"Deep Canvass",68,1,0,1,1,1,NA,NA,NA
189679,"TN","TN",2,"Deep Canvass",28,1,0,0,1,1,NA,NA,NA
113167,"CA","ORANGE",2,"Deep Canvass",59,0,0,1,1,1,NA,NA,NA
72486,"CA","FRESNO",2,"Deep Canvass",85,0,0,1,1,1,0.1214097,0.2800071,0.205127
21711,"CA","ORANGE",2,"Deep Canvass",37,1,0,1,1,1,NA,NA,NA
42350,"CA","FRESNO",2,"Deep Canvass",33,0,0,0,0,0,1.251601,0.9877387,1.170635
199141,"TN","TN",2,"Deep Canvass",25,1,0,1,0,1,NA,NA,NA
12092,"CA","ORANGE",2,"Deep Canvass",63,0,0,1,1,1,0.2890975,-0.0558997,0.1543169
160264,"TN","TN",2,"Deep Canvass",63,1,0,1,1,1,NA,NA,NA
128782,"TN","TN",2,"Deep Canvass",59,1,0,1,0,1,0.4481097,0.6129014,0.5536939
